Time [s]	Obiwan Ch.  1(Target)[mbar]	Obiwan Ch.  1(Read)[mbar]	Obiwan Ch.  2(Target)[mbar]	Obiwan Ch.  2(Read)[mbar]	Obiwan Ch.  3(Target)[mbar]	Obiwan Ch.  3(Read)[mbar]	Obiwan Ch.  4(Target)[mbar]	Obiwan Ch.  4(Read)[mbar]	Flowie80(Target) [µl/min]	Flowie80(Read)[µl/min]	
10.3280	0.0000	1.0359	25.2514	25.3556	0.0000	3.2579	0.0000	-888.7319	12.7500	12.8852	
10.3780	0.0000	1.0359	25.2401	25.3556	0.0000	3.2579	0.0000	-888.7319	12.7500	12.8852	
10.4280	0.0000	1.0987	25.2349	25.2956	0.0000	3.1974	0.0000	-888.7319	12.7500	12.8556	
10.4790	0.0000	1.0987	25.2335	25.2956	0.0000	3.1974	0.0000	-890.9572	12.7500	12.8111	
10.5280	0.0000	1.0987	25.2284	25.2956	0.0000	3.1974	0.0000	-890.9572	12.7500	12.8111	
10.5790	0.0000	1.0987	25.2314	25.3556	0.0000	3.1369	0.0000	-886.5065	12.7500	12.7704	
10.6290	0.0000	1.0987	25.2315	25.3556	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7593	
10.6790	0.0000	1.0987	25.2307	25.3556	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7593	
10.7280	0.0000	1.0359	25.2278	25.3556	0.0000	3.2579	0.0000	-888.7319	12.7500	12.7704	
10.7780	0.0000	1.0359	25.2260	25.3556	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7926	
10.8280	0.0000	1.0987	25.2191	25.3556	0.0000	3.1974	0.0000	-888.7319	12.7500	12.7926	
10.8790	0.0000	1.0987	25.2223	25.2356	0.0000	3.2579	0.0000	-888.7319	12.7500	12.7556	
10.9280	0.0000	1.0987	25.2219	25.2356	0.0000	3.2579	0.0000	-888.7319	12.7500	12.7556	
